Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
991855883238985733,???????? https://t.co/RrR8E3cvq6,L.D.A., @ldacr ,Thu May 03 01:44:05 +0000 2018,32,1,Undetermined,Twitter for iPhone,Tweet,Video,0,0,0
991857407239258112,¡Vamos @PPemberton01! ??? https://t.co/2JTeSH9lMA,L.D.A., @ldacr ,Thu May 03 01:50:08 +0000 2018,133,5,Spanish,Twitter for iPhone,Tweet,Photo,0,0,1
991862041202786304,?¡Arranca el partido! Recibimos al @csherediano1921 en el Estadio Nacional. #VamosLiga??? https://t.co/GlI7PyqUay,L.D.A., @ldacr ,Thu May 03 02:08:33 +0000 2018,32,0,Spanish,Twitter for iPhone,Tweet,Photo,0,1,1
991863316816498689,"?5' #LDA 0-0 #CSH

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 02:13:37 +0000 2018,12,0,Undetermined,Twitter for iPhone,Tweet,,0,3,0
991865068848648193,"?12' #LDA 0-0 #CSH

¡PENAAL PARA LA LIGA!?

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 02:20:35 +0000 2018,34,0,Spanish,Twitter for iPhone,Tweet,,0,3,0
991865783457386496,"?14' #LDA 1-0 #CSH

¡Goooool! @rrojasl anota desde los once pasos.

#VamosLiga??? https://t.co/qs1Oo5Fhhk",L.D.A., @ldacr ,Thu May 03 02:23:25 +0000 2018,329,43,Spanish,Twitter for iPhone,Tweet,Photo,0,3,1
991869008155725824,"?28' #LDA 1-0 #CSH

Seguimos con la ventaja en el marcador. Amarilla para @Lpz10alex 

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 02:36:14 +0000 2018,22,0,Spanish,Twitter for iPhone,Tweet,,0,3,1
991870658702344194,"?35' #LDA 1-0 #CSH

Amarilla para @JASalvatierra6 

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 02:42:47 +0000 2018,16,1,Spanish,Twitter for iPhone,Tweet,,0,3,1
991872621284417537,"?42' #LDA 1-0 #CSH

Amarilla para @rrojasl, el catracho acumula su quinta tarjeta y se pierde el próximo encuentro. 

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 02:50:35 +0000 2018,29,3,Spanish,Twitter for iPhone,Tweet,,0,3,1
991873909359370240,"?¡Finaliza la primera mitad! #LaLiga 1-0 @csherediano1921 

??@rrojasl ?? https://t.co/RZEBrDhJfb",L.D.A., @ldacr ,Thu May 03 02:55:42 +0000 2018,93,3,Spanish,Twitter for iPhone,Tweet,Photo,0,1,2
991878540068089856,"?¡Arranca la segunda mitad! #LaLiga 1-0 @csherediano1921 

??@rrojasl ?? https://t.co/u6vk1JC5kb",L.D.A., @ldacr ,Thu May 03 03:14:06 +0000 2018,46,4,Spanish,Twitter for iPhone,Tweet,Photo,0,1,2
991881958211792896,"?60' #LDA 1-0 #CSH

?Primer cambio en #LaLiga

??Sale @Daniville16 

??Ingresa @alleng30 

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 03:27:41 +0000 2018,20,0,Spanish,Twitter for iPhone,Tweet,,0,4,2
991884627123036160,"?70' #LDA 1-0 #CSH

?Segundo cambio en #LaLiga

??Sale Abdiel Arroyo  

??Ingresa @YuaicellWright 

#VamosLiga???",L.D.A., @ldacr ,Thu May 03 03:38:18 +0000 2018,22,0,Spanish,Twitter for iPhone,Tweet,,0,4,1
